rank,model,family,ln_Z,ln_Z_err,delta_to_best,n_dim,nlive,seed,status,error
9,SMBHB-PowerLaw,Astro-simple,-155.94133213872232,0.12383905274829145,-1.5641265928138353,2,500,20260422,pass,
8,SMBHB-Turnover,Astro-simple,-155.42510892349202,0.12392116843581426,-1.0479033775835376,4,500,20260422,pass,
7,SMBHB-Env,Astro-curved,-155.31627098392624,0.12324114132838286,-0.9390654380177637,3,500,20260422,pass,
6,SMBHB-BrokenPL,Astro-curved,-155.2088795276207,0.1210964490831099,-0.8316739817122141,4,500,20260422,pass,
5,SMBHB-Eccentric,Astro-curved,-155.04008746027674,0.1212961541174328,-0.6628819143682563,3,500,20260422,pass,
3,PBH-SIGW-Analytic,SIGW-like,-154.5500425014541,0.11355798349912578,-0.17283695554561973,3,500,20260422,pass,
4,SIGW-Gaussian,SIGW-like,-154.8496318082255,0.1148219562758889,-0.4724262623170148,3,500,20260422,pass,
2,SIGW-Delta,SIGW-like,-154.46910536386096,0.10940197072509808,-0.09189981795248059,2,500,20260422,pass,
1,Cosmic-Superstrings,Cosmo-other,-154.37720554590848,0.10896083559524378,0.0,2,500,20260422,pass,
11,DomainWall,Cosmo-other,-157.170546081331,0.13720841257776425,-2.793340535422516,3,500,20260422,pass,
10,PhaseTransition-Total,Cosmo-other,-156.23001011285217,0.13055738685971513,-1.8528045669436892,5,500,20260422,pass,
